nama_kelurahan,SUSPEK,PROBABLE,PELAKU PERJALANAN,KONTAK ERAT,DISCARDED,POSITIF
LENTENG AGUNG,905,4,6,914,16,330
LUBANG BUAYA,955,3,10,925,34,469
MAKASAR,444,0,8,1350,25,365
MALAKA JAYA,377,1,2,744,16,268
MALAKA SARI,355,0,1,664,15,239
MAMPANG PRAPATAN,363,2,0,1108,10,343
MANGGA BESAR,170,1,0,208,6,81
MANGGA DUA SELATAN,469,3,1,913,19,274
MANGGARAI,489,4,4,665,27,274
MANGGARAI SELATAN,338,0,6,547,24,170
MAPHAR,268,0,6,429,41,223
MARUNDA,333,3,0,385,16,132
MELAWAI,93,0,1,102,0,21
MENTENG,514,2,5,922,27,307
MENTENG ATAS,459,2,55,1489,39,350
MENTENG DALAM,691,4,13,846,46,306
MERUYA SELATAN,486,1,5,887,17,281
MERUYA UTARA,700,1,8,1127,11,347
MUNJUL,342,0,3,439,26,142
PADEMANGAN BARAT,1998,5,16,2626,38,812
PADEMANGAN TIMUR,722,2,15,968,23,326
PAL MERIAM,312,2,3,754,64,266
PALMERAH,1489,0,2,2137,82,645
PANCORAN,482,1,9,676,7,291
PAPANGGO,551,1,7,954,70,302
PASAR BARU,271,2,9,570,13,198
PASAR MANGGIS,303,4,29,1067,19,302
PASAR MINGGU,521,3,7,710,22,259
PASEBAN,614,4,24,1205,63,381
PEGADUNGAN,891,1,10,1675,18,362
PEGANGSAAN,427,3,3,969,53,385
PEGANGSAAN DUA,1008,2,45,2025,209,549
PEJAGALAN,688,3,11,1169,34,404
PEJATEN BARAT,591,8,2,855,74,312
PEJATEN TIMUR,616,4,3,840,41,319
PEKAYON,1018,2,3,450,15,279
PEKOJAN,336,0,3,289,18,153
PELA MAMPANG,490,4,15,1639,6,415
PENGADEGAN,257,0,8,470,11,139
PENGGILINGAN,903,2,11,2094,85,696
PENJARINGAN,1366,4,24,3225,122,787
PESANGGRAHAN,548,2,0,1041,19,204
PETAMBURAN,645,0,7,1012,12,468
PETOGOGAN,273,0,3,330,3,130
